name,z,x
DIM DIM SUM,1331,465
Thursday Island,1509,459
DUE MARE,1617,457
SEPHORA,1746,394
LIST,1952,448
SAPPUN,2028,449
STAYPEOPLE,2121,446
SISTINA,2199,451
lululemon,2305,448
eggslut,2528,445
De Chocolate COFFEE,1151,587
EGG DROP,1268,592
Crispy fresh,1352,617
Little SAIGON,1455,645
huit 8,1517,634
mono n milky,1612,627
MU:U MU:U,1644,732
MAGJAY,1760,643
NAMUGRIM,1831,650
the Reneevon,1915,648
ALLSAINTS,2034,665
MELTING SHOP Cheese room,2379,691
McDonald's,2767,684
INASE,1470,833
Muwol Table,1550,865
ALOHA TABLE,1635,858
COMGEN,1792,801
info.,1749,909
Globe,2194,793
HUMMUS KITCHEN,2377,793
CHARLES & KEITH,2764,807
SAINT AUGUSTIN,1440,1005
Coffee Bean,1606,1017
LOVFUME,1809,1011
Aesop,1877,980
JUST,1915,924
FOURSTONES,2103,887
SUSHI TSUKAMU,2214,895
KATSU8,2213,983
VATOS,2376,881
Ben's Cookies,2311,961
Gong cha,2307,1037
WHO.A.U,2390,999
H&M,2765,952
Paulie's,1438,1106
NOLIE,1625,1213
MUJI,1782,1219
Aaron's RollnComb,1890,1124
DESSERT PLANET,2310,1112
GODIVA,2310,1191
THE NORTH FACE,2388,1151
emart24,2769,1118
ON.CAT,687,1304
GoldGem,685,1387
SOGO,686,1474
E'ton,856,1284
KORYED,851,1325
C.F,852,1378
casamia,1085,1362
KARY MARKET,1186,1508
TOPTEN KIDS,1267,1547
baskin robbins,1430,1345
NANING9,1426,1443
LIFE WORK,1619,1365
SHESMISS,1626,1448
Champion,2059,1459
BGZT LAB,1967,1541
OLIVE YOUNG,2190,1312
UFC,2346,1495
WONDERPLACE,2448,1451
STARBUCKS,2702,1379
BERCE COFFEE,338,1842
Coffee Bean,342,2009
ASEM optical,424,2046
CAFE HANS PARISSERIE,476,2041
SideShow,539,1558
SMOOTHIE KiNG,535,1675
MISSHA,673,1559
YOICHEU,667,1644
Dr.Martens,671,1721
mulawear,673,1988
theSAEM,673,2071
ZEN,839,1543
SEKANSKEEN,840,1601
ALDO,842,1667
CLOVIS,851,1745
PANDORA,859,1814
SOUP,852,2081
